CODE,YEAR,DISEASE_CODE,DENOMINATOR,INCIDENCE_RATE
ABW,2017,MEASLES,"per 1,000,000 total population",0.0
ABW,2017,MUMPS,"per 1,000,000 total population",9.5
ABW,2017,NTETANUS,"per 1,000 live births",0.0
ABW,2017,PERTUSSIS,"per 1,000,000 total population",9.5
ABW,2017,RUBELLA,"per 1,000,000 total population",0.0
ABW,2017,YFEVER,"per 1,000,000 total population",0.0
AFG,2023,CRS,"per 10,000 live births",4.0
AFG,2023,DIPHTHERIA,"per 1,000,000 total population",1.5
AFG,2023,INVASIVE_MENING,"per 1,000,000 total population",
AFG,2023,JAPENC,"per 1,000,000 total population",
AFG,2023,MEASLES,"per 1,000,000 total population",67.4
AFG,2023,MUMPS,"per 1,000,000 total population",
AFG,2023,NTETANUS,"per 1,000 live births",0.0
AFG,2023,PERTUSSIS,"per 1,000,000 total population",36.9
AFG,2023,POLIO,"per 1,000,000 <15 population",0.3
AFG,2023,RUBELLA,"per 1,000,000 total population",10.7
AFG,2023,TTETANUS,"per 1,000,000 total population",2.1
AFG,2023,TYPHOID,"per 1,000,000 total population",
AFG,2023,YFEVER,"per 1,000,000 total population",
AFG,2022,CRS,"per 10,000 live births",5.5
AFG,2022,DIPHTHERIA,"per 1,000,000 total population",1.2
AFG,2022,INVASIVE_MENING,"per 1,000,000 total population",
AFG,2022,JAPENC,"per 1,000,000 total population",
AFG,2022,MEASLES,"per 1,000,000 total population",127.3
AFG,2022,MUMPS,"per 1,000,000 total population",
AFG,2022,NTETANUS,"per 1,000 live births",0.0
AFG,2022,PERTUSSIS,"per 1,000,000 total population",8.2
AFG,2022,POLIO,"per 1,000,000 <15 population",
AFG,2022,RUBELLA,"per 1,000,000 total population",4.8
AFG,2022,TTETANUS,"per 1,000,000 total population",1.2
AFG,2022,TYPHOID,"per 1,000,000 total population",0.0
AFG,2022,YFEVER,"per 1,000,000 total population",
AFG,2021,CRS,"per 10,000 live births",0.4
AFG,2021,DIPHTHERIA,"per 1,000,000 total population",1.5
AFG,2021,INVASIVE_MENING,"per 1,000,000 total population",
AFG,2021,JAPENC,"per 1,000,000 total population",
AFG,2021,MEASLES,"per 1,000,000 total population",72.5
AFG,2021,MUMPS,"per 1,000,000 total population",
AFG,2021,NTETANUS,"per 1,000 live births",2.1
AFG,2021,PERTUSSIS,"per 1,000,000 total population",2.7
AFG,2021,POLIO,"per 1,000,000 <15 population",2.4
AFG,2021,RUBELLA,"per 1,000,000 total population",1.1
AFG,2021,TTETANUS,"per 1,000,000 total population",76.7
AFG,2021,TYPHOID,"per 1,000,000 total population",
AFG,2021,YFEVER,"per 1,000,000 total population",
AFG,2020,CRS,"per 10,000 live births",4.5
AFG,2020,DIPHTHERIA,"per 1,000,000 total population",
AFG,2020,INVASIVE_MENING,"per 1,000,000 total population",4.1
AFG,2020,JAPENC,"per 1,000,000 total population",
AFG,2020,MEASLES,"per 1,000,000 total population",16.4
AFG,2020,MUMPS,"per 1,000,000 total population",
