DISEASE_CODE,DESCRIPTION
CRS,Congenital rubella syndrome
DIPHTHERIA,Diphtheria
INVASIVE_MENING,Invasive meningococcal disease
JAPENC,Japanese encephalitis
MEASLES,Measles
MUMPS,Mumps
NTETANUS,Neonatal tetanus
PERTUSSIS,Pertussis
POLIO,Poliomyelitis
RUBELLA,Rubella
TTETANUS,Total tetanus
TYPHOID,Typhoid
YFEVER,Yellow fever
